"","team","passer","time","mins","secs","x.start","y.start","x.end","y.end","outcome","assist","key","headed","throw","receiver"
"1","Hudd Town","Laurent Depoitre",61,1,1,50,50,36.5,42.8,"completed","0","0","0","0","Jonathan Hogg"
"2","Liverpool","James Milner",64,1,4,29.4,58.7,9.9,46.4,"completed","0","0","0","0","Joseph Gomez"
"3","Liverpool","Simon Mignolet",67,1,7,9.9,46.4,59.3,34.5,"failed","0","0","0","0","Christopher Schindler"
"4","Hudd Town","Christopher Schindler",70,1,10,39.3,71.4,64.4,73.9,"failed","0","0","1","0","Mohamed Salah"
"5","Hudd Town","Jonathan Hogg",73,1,13,36.4,42.8,34.7,11.1,"completed","0","0","0","0","Alberto Moreno"
"6","Liverpool","Joseph Gomez",74,1,14,36.6,23.6,39.4,33.6,"completed","0","0","1","0","Jordan Henderson"
"7","Liverpool","Jordan Henderson",75,1,15,39.4,33.6,29.4,58.1,"completed","0","0","0","0","Ragnar Klavan"
"8","Liverpool","Ragnar Klavan",77,1,17,29.1,60,32.8,76.4,"completed","0","0","0","0","Alberto Moreno"
"9","Liverpool","Alberto Moreno",80,1,20,35.3,79.7,37.7,59.1,"completed","0","0","0","0","Jordan Henderson"
"10","Liverpool","Jordan Henderson",83,1,23,39.1,56.7,46.7,16.5,"completed","0","0","0","0","James Milner"
"11","Liverpool","James Milner",87,1,27,48.2,10.4,61.8,3.7,"completed","0","0","0","0","Mohamed Salah"
"12","Liverpool","Mohamed Salah",89,1,29,61.8,3.7,49.3,5.8,"completed","0","0","0","0","James Milner"
"13","Liverpool","James Milner",92,1,32,49.3,5.8,36.9,52.2,"completed","0","0","0","0","Joel Matip"
"14","Liverpool","Joel Matip",96,1,36,36.9,52.2,58.1,95.4,"completed","0","0","0","0","Alberto Moreno"
"15","Liverpool","Alberto Moreno",98,1,38,58.1,95.4,37.1,87.5,"completed","0","0","0","0","Ragnar Klavan"
"16","Liverpool","Ragnar Klavan",100,1,40,37.8,86.2,43.1,34,"completed","0","0","0","0","Joseph Gomez"
"17","Liverpool","Joseph Gomez",105,1,45,43.3,32.7,49.1,61.8,"completed","0","0","0","0","Jordan Henderson"
"18","Liverpool","Jordan Henderson",108,1,48,49.1,61.8,61.4,84.1,"completed","0","0","0","0","Georginio Wijnaldum"
"19","Liverpool","Georginio Wijnaldum",110,1,50,60.9,85.9,65.3,95.9,"completed","0","0","0","0","Alberto Moreno"
"20","Liverpool","Alberto Moreno",112,1,52,65.3,95.9,48.1,87.7,"completed","0","0","0","0","Ragnar Klavan"
"21","Liverpool","Ragnar Klavan",116,1,56,54.1,71.8,50.3,36.1,"completed","0","0","0","0","Joseph Gomez"
"22","Hudd Town","Tommy Smith",117,1,57,34.7,11.1,73.4,8.2,"failed","0","0","0","0","Simon Mignolet"
"23","Liverpool","Alberto Moreno",120,1,60,19.2,91.5,30.2,57.2,"completed","0","0","1","0","James Milner"
"24","Liverpool","Joseph Gomez",122,2,2,50.5,34,61.4,5.5,"completed","0","0","0","0","Mohamed Salah"
"25","Liverpool","Alberto Moreno",124,2,4,61.1,88.3,44.2,85.3,"completed","0","0","0","0","Ragnar Klavan"
"26","Liverpool","Ragnar Klavan",128,2,8,53.8,78.8,46.9,47.9,"completed","0","0","0","0","Jordan Henderson"
"27","Liverpool","Jordan Henderson",132,2,12,60.8,34.6,65.9,3.4,"completed","0","0","0","0","Joseph Gomez"
"28","Liverpool","Mohamed Salah",138,2,18,72.3,12.5,92.3,23.9,"failed","0","0","0","0","Daniel Sturridge"
"29","Liverpool","Daniel Sturridge",141,2,21,92.3,23.3,92.2,24.7,"failed","0","0","0","0","Christopher Schindler"
"30","Hudd Town","Christopher Schindler",143,2,23,9.2,75.4,70,86.8,"failed","0","0","0","0","Jordan Henderson"
"31","Liverpool","Joseph Gomez",153,2,33,29,9.7,34.6,53,"completed","0","0","0","0","Joel Matip"
"32","Liverpool","Joel Matip",156,2,36,34.6,53,46.9,34.6,"completed","0","0","0","0","Aaron Mooy"
"33","Liverpool","Jordan Henderson",159,2,39,48,34.5,91.4,82.6,"failed","0","0","0","0","Rajiv van La Parra"
"34","Hudd Town","Rajiv van La Parra",167,2,47,3.8,24.6,29.1,4,"failed","0","0","0","0","Tom Ince"
"35","Hudd Town","Tom Ince",176,2,56,26.9,55.9,32.6,54,"failed","0","0","1","0","Jordan Henderson"
"36","Liverpool","Mohamed Salah",177,2,57,56.3,6.2,45.8,53.4,"completed","0","0","0","0","Joel Matip"
"37","Liverpool","Joel Matip",179,2,59,45.8,53.4,61.4,94.1,"completed","0","0","0","0","Alberto Moreno"
"38","Hudd Town","Tommy Smith",185,3,5,38.3,44.9,13.8,49.9,"completed","0","0","0","0","Jonas Lössl"
"39","Hudd Town","Jonas Lössl",197,3,17,14,44.8,64.7,12.8,"completed","0","0","0","0","Tommy Smith"
"40","Hudd Town","Laurent Depoitre",201,3,21,65,12.6,66.7,11.2,"failed","0","0","1","0","Laurent Depoitre"
"41","Liverpool","Alberto Moreno",255,4,15,28.5,100,27.3,83.6,"completed","0","0","0","1","Jordan Henderson"
"42","Liverpool","Jordan Henderson",256,4,16,27.3,83.6,27.7,97.5,"completed","0","0","0","0","Alberto Moreno"
"43","Liverpool","Alberto Moreno",257,4,17,27.7,97.5,22.6,84.4,"completed","0","0","0","0","Ragnar Klavan"
"44","Liverpool","Ragnar Klavan",258,4,18,22.6,84.4,24.6,51.6,"completed","0","0","0","0","Joel Matip"
"45","Liverpool","Joel Matip",259,4,19,24.6,51.6,35,23.4,"completed","0","0","0","0","Joseph Gomez"
"46","Liverpool","Joseph Gomez",265,4,25,41.9,27.7,39.2,69.1,"completed","0","0","0","0","Ragnar Klavan"
"47","Liverpool","Ragnar Klavan",269,4,29,43.9,71.8,58.8,94.4,"completed","0","0","0","0","Alberto Moreno"
"48","Liverpool","Alberto Moreno",270,4,30,58.8,94.4,36.6,67.2,"completed","0","0","0","0","Ragnar Klavan"
"49","Liverpool","Ragnar Klavan",273,4,33,36.5,67.2,40.2,54.3,"completed","0","0","0","0","Joel Matip"
"50","Liverpool","Joel Matip",278,4,38,45,51.2,56.2,71.7,"completed","0","0","0","0","Georginio Wijnaldum"
"51","Liverpool","Georginio Wijnaldum",281,4,41,56.2,71.7,47.7,64.2,"completed","0","0","0","0","Aaron Mooy"
"52","Liverpool","Ragnar Klavan",284,4,44,58.6,69.1,63.7,100,"failed","0","0","0","0","Laurent Depoitre"
"53","Hudd Town","Tommy Smith",298,4,58,74.6,0,77.9,7.6,"completed","0","0","0","1","Alberto Moreno"
"54","Hudd Town","Laurent Depoitre",299,4,59,77.5,7.5,73.8,0,"failed","0","0","0","0","Ragnar Klavan"
"55","Hudd Town","Tommy Smith",301,5,1,41.9,0,47.9,5.8,"completed","0","0","0","1","Alberto Moreno"
"56","Hudd Town","Aaron Mooy",302,5,2,46.3,6.4,68.6,7.3,"completed","0","0","0","0","Tommy Smith"
"57","Liverpool","Joseph Gomez",305,5,5,43.8,40.1,35.8,54,"completed","0","0","0","0","Joel Matip"
"58","Liverpool","Joel Matip",308,5,8,42.2,58.2,48.4,72.3,"completed","0","0","0","0","Ragnar Klavan"
"59","Liverpool","Ragnar Klavan",310,5,10,47.9,69.6,45,50.7,"completed","0","0","0","0","Joel Matip"
"60","Liverpool","Joel Matip",312,5,12,45,50.7,55.4,41.5,"completed","0","0","0","0","Jordan Henderson"
"61","Liverpool","Jordan Henderson",316,5,16,58.9,36.4,70.2,3.4,"completed","0","0","0","0","Mohamed Salah"
"62","Liverpool","Mohamed Salah",321,5,21,82.1,9.1,88.1,3.7,"completed","0","0","0","0","Joseph Gomez"
"63","Hudd Town","Laurent Depoitre",324,5,24,71.6,10.1,73.5,5.2,"failed","0","0","0","0","Jonathan Hogg"
"64","Hudd Town","Jonathan Hogg",326,5,26,10.1,76.4,33.3,100,"failed","0","0","0","0","James Milner"
"65","Liverpool","Joseph Gomez",333,5,33,64.6,0,67.5,9.4,"completed","0","0","0","1","Joel Matip"
"66","Liverpool","James Milner",334,5,34,67.5,9.4,62.6,3.8,"failed","0","0","0","0","Tom Ince"
"67","Hudd Town","Tom Ince",340,5,40,38.1,96.3,76.1,74.1,"failed","0","0","0","0","Roberto Firmino"
"68","Liverpool","Alberto Moreno",346,5,46,24.6,94.7,23.2,66.3,"completed","0","0","0","0","Joel Matip"
"69","Liverpool","Joel Matip",347,5,47,27.3,24.4,3.4,67,"completed","0","0","0","0","Simon Mignolet"
"70","Liverpool","Simon Mignolet",350,5,50,3.2,67.5,10.1,86.9,"completed","0","0","0","0","Alberto Moreno"
"71","Liverpool","Alberto Moreno",353,5,53,9.3,86.5,34.4,63.3,"completed","0","0","0","0","Tommy Smith"
"72","Liverpool","Roberto Firmino",355,5,55,34.4,63.3,46.1,66.4,"failed","0","0","1","0","Zanka"
"73","Liverpool","Joel Matip",358,5,58,23.2,66.3,29.3,44.2,"completed","0","0","0","0","Joseph Gomez"
"74","Hudd Town","Tommy Smith",386,6,26,40.1,7.9,45.6,21.3,"completed","0","0","0","0","Mohamed Salah"
"75","Hudd Town","Zanka",388,6,28,45.6,21.3,91.6,14.4,"failed","0","0","0","0","Simon Mignolet"
"76","Liverpool","Simon Mignolet",394,6,34,6.3,86.3,55.6,66.9,"failed","0","0","0","0","Zanka"
"77","Hudd Town","Zanka",397,6,37,45.8,29.7,45.4,47.8,"failed","0","0","1","0","Tommy Smith"
"78","Liverpool","Mohamed Salah",400,6,40,57,45.5,52.2,21.3,"completed","0","0","0","0","Joseph Gomez"
"79","Liverpool","Joseph Gomez",403,6,43,54.9,20.6,55,32.2,"completed","0","0","0","0","Jordan Henderson"
"80","Liverpool","Jordan Henderson",407,6,47,56.7,27,72.8,2.6,"completed","0","0","0","0","Rajiv van La Parra"
"81","Liverpool","Joel Matip",445,7,25,26.7,53.3,32.1,53.7,"completed","0","0","1","0","Joseph Gomez"
"82","Liverpool","James Milner",447,7,27,34,21.8,63.1,5,"failed","0","0","0","0","Jordan Henderson"
"83","Liverpool","Joseph Gomez",475,7,55,56.8,0,57.1,23.6,"completed","0","0","0","1","James Milner"
"84","Liverpool","James Milner",476,7,56,57.1,23.6,55.1,53.4,"completed","0","0","0","0","Georginio Wijnaldum"
"85","Liverpool","Georginio Wijnaldum",481,8,1,55.1,53.4,59.3,70.6,"completed","0","0","0","0","Alberto Moreno"
"86","Liverpool","Alberto Moreno",482,8,2,59.4,71.1,45.6,58.2,"completed","0","0","0","0","Ragnar Klavan"
"87","Liverpool","Jordan Henderson",483,8,3,59.8,24.9,53.4,17.6,"completed","0","0","0","0","Joseph Gomez"
"88","Liverpool","Joseph Gomez",485,8,5,51.7,17.9,46,37.1,"completed","0","0","0","0","Joel Matip"
"89","Liverpool","Joel Matip",488,8,8,46.1,37.3,56.1,30.7,"completed","0","0","0","0","Joel Matip"
"90","Liverpool","Jordan Henderson",492,8,12,56.9,29.2,88.1,59.7,"failed","0","0","0","0","Jonas Lössl"
"91","Liverpool","Ragnar Klavan",515,8,35,46.2,55.7,54.7,16.7,"completed","0","0","0","0","Joseph Gomez"
"92","Liverpool","Joseph Gomez",539,8,59,55.4,17.7,59.8,24.9,"completed","0","0","0","0","Jordan Henderson"
"93","Liverpool","Joel Matip",549,9,9,24.4,46,32.3,46.4,"completed","0","0","0","0","Jordan Henderson"
"94","Liverpool","Jordan Henderson",554,9,14,45,46.6,56.2,68.7,"completed","0","0","0","0","Roberto Firmino"
"95","Liverpool","Roberto Firmino",557,9,17,58.8,71.1,70.1,72.7,"completed","0","0","0","0","Alberto Moreno"
"96","Liverpool","Alberto Moreno",559,9,19,70.3,72.7,64.8,79.4,"completed","0","0","0","0","Ragnar Klavan"
"97","Liverpool","Roberto Firmino",560,9,20,64.8,79.4,72.5,82.6,"failed","0","0","0","0","Tommy Smith"
"98","Hudd Town","Tommy Smith",583,9,43,10.5,0,31.6,5.6,"failed","0","0","0","1","Ragnar Klavan"
